espn_id,name,pos,jersey,jersey_source,college_id,college_name,college_logo,college_source,draft_status,draft_year,draft_round,draft_pick,draft_team,draft_team_name,draft_source,included,notes,country,country_name,country_source
3908845,John Collins,F,20,wikipedia,154,Wake Forest,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,espn,drafted,2017,1,19,ATL,Atlanta Hawks,espn,true,,us,United States,espn birthplace
1726,John Salmons,F,,,2390,Miami,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,espn,drafted,2002,1,26,SA,San Antonio Spurs,espn,true,,us,United States,wikipedia birthplace
812,John Stockton,G,,,2250,Gonzaga,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,espn,drafted,1984,1,16,UTAH,Utah Jazz,espn,true,,us,United States,wikipedia birthplace
4237,John Wall,G,,,96,Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,espn,drafted,2010,1,1,WSH,Washington Wizards,espn,true,,us,United States,espn birthplace
6477,Jonas Valanciunas,C,17,espn,,,,,drafted,2011,1,5,TOR,Toronto Raptors,espn,true,,lt,Lithuania,espn birthplace
2806,Jose Calderon,G,81,espn,,,,,undrafted,,,,,,espn (no draft record),true,,es,Spain,espn birthplace
4871145,Josh Giddey,G,3,espn,,,,,drafted,2021,1,6,OKC,Oklahoma City Thunder,espn,true,,au,Australia,wikipedia birthplace
2006,Josh Howard,F,,,154,Wake Forest,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,espn,drafted,2003,1,29,DAL,Dallas Mavericks,espn,true,,us,United States,wikipedia birthplace
2411,Josh Smith,F,,,,,,,drafted,2004,1,17,ATL,Atlanta Hawks,espn,true,,us,United States,wikipedia birthplace
2444,JR Smith,G,21,espn,,,,,drafted,2004,1,18,NOH,New Orleans Hornets,espn,true,,,,
3995,Jrue Holiday,G,5,espn,26,UCLA,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,espn,drafted,2009,1,17,PHI,Philadelphia 76ers,espn,true,,us,United States,espn birthplace
3064514,Julius Randle,F,30,espn,96,Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,espn,drafted,2014,1,7,LAL,Los Angeles Lakers,espn,true,,us,United States,espn birthplace
3102530,Jusuf Nurkic,C,30,espn,,,,,drafted,2014,1,16,CHI,Chicago Bulls,espn,true,,ba,Bosnia and Herzegovina,espn birthplace
