season,team_id,espn_id,role,passing_yards,espn_order,starter,source
2001,CIN,74,QB,38,1,false,leaders
2001,CIN,1754,QB,37,2,false,leaders
2001,CIN,1196,QB,0,3,false,leaders
2001,CLE,1752,QB,3040,0,false,leaders
2001,CLE,1162,QB,114,1,false,leaders
2001,DAL,2601,QB,1072,0,false,leaders
2001,DAL,2053,QB,529,1,false,leaders
2001,DAL,1427,QB,494,2,false,leaders
2001,DAL,2480,QB,314,3,false,leaders
2001,DAL,2387,QB,0,4,false,leaders
2001,DAL,751,QB,-1,5,false,leaders
2001,DEN,1493,QB,2827,0,false,leaders
2001,DEN,622,QB,308,1,false,leaders
2001,DEN,2345,QB,73,2,false,leaders
2001,DET,1490,QB,2392,0,false,leaders
2001,DET,321,QB,906,1,false,leaders
2001,DET,2698,QB,671,2,false,leaders
2001,DET,551,QB,0,3,false,leaders
2001,GB,112,QB,3921,0,false,leaders
2001,IND,1428,QB,4131,0,false,leaders
2001,IND,30,QB,57,1,false,leaders
2001,IND,744,QB,39,2,false,leaders
2001,JAX,445,QB,3309,0,false,leaders
2001,JAX,1639,QB,361,1,false,leaders
2001,KC,478,QB,3783,0,false,leaders
2001,KC,735,QB,40,1,false,leaders
2001,KC,1231,QB,40,2,false,leaders
2001,LAC,35,QB,3464,0,false,leaders
2001,LAC,2580,QB,221,1,false,leaders
2001,LAR,1682,QB,4830,0,false,leaders
2001,LAR,1492,QB,51,1,false,leaders
2001,LAR,531,QB,22,2,false,leaders
2001,LAR,548,QB,0,3,false,leaders
2001,LV,33,QB,3828,0,false,leaders
2001,LV,2607,QB,34,1,false,leaders
2001,MIA,712,QB,3290,0,false,leaders
2001,MIA,1161,QB,45,1,false,leaders
2001,MIN,1762,QB,2612,0,false,leaders
2001,MIN,1417,QB,795,1,false,leaders
2001,MIN,2314,QB,418,2,false,leaders
2001,MIN,1433,QB,29,3,false,leaders
2001,MIN,619,QB,0,4,false,leaders
2001,NE,2330,QB,2843,0,false,leaders
2001,NE,393,QB,400,1,false,leaders
2001,NE,1393,QB,60,2,false,leaders
2001,NE,1798,QB,23,3,false,leaders
2001,NO,1884,QB,3832,0,false,leaders
2001,NO,2571,QB,12,1,false,leaders
2001,NO,341,QB,0,2,false,leaders
2001,NO,1042,QB,0,3,false,leaders
2001,NYG,734,QB,3764,0,false,leaders
2001,NYJ,9,QB,2752,0,false,leaders
2001,NYJ,2149,QB,92,1,false,leaders
2001,NYJ,775,QB,18,2,false,leaders
2001,NYJ,42,QB,9,3,false,leaders
2001,NYJ,2597,QB,0,4,false,leaders
2001,PHI,1753,QB,3233,0,false,leaders
2001,PHI,2704,QB,143,1,false,leaders
2001,PHI,1683,QB,51,2,false,leaders
2001,PHI,2573,QB,0,3,false,leaders
2001,PIT,736,QB,3109,0,false,leaders
2001,PIT,279,QB,154,1,false,leaders
2001,PIT,389,QB,32,2,false,leaders
2001,PIT,1494,QB,0,3,false,leaders
2001,SEA,1575,QB,2023,0,false,leaders
2001,SEA,649,QB,1014,1,false,leaders
2001,SEA,1830,QB,127,2,false,leaders
2001,SEA,26,QB,0,3,false,leaders
2001,SF,2026,QB,3538,0,false,leaders
2001,SF,2343,QB,21,1,false,leaders
2001,TB,331,QB,3406,0,false,leaders
2001,TB,1803,QB,210,1,false,leaders
2001,TB,131,QB,5,2,false,leaders
2001,TB,1833,QB,0,3,false,leaders
2001,TEN,733,QB,3350,0,false,leaders
2001,TEN,127,QB,496,1,false,leaders
2001,TEN,516,QB,21,2,false,leaders
2001,TEN,538,QB,0,3,false,leaders
2001,TEN,2344,QB,0,4,false,leaders
2001,TEN,2440,QB,0,5,false,leaders
2001,WSH,927,QB,2386,0,false,leaders
2001,WSH,69,QB,168,1,false,leaders
2001,WSH,337,QB,131,2,false,leaders
2001,WSH,1210,QB,31,3,false,leaders
2002,ARI,1177,QB,2972,0,false,leaders
2002,ARI,3609,QB,66,1,false,leaders
2002,ATL,2549,QB,2936,0,false,leaders
2002,ATL,2405,QB,448,1,false,leaders
2002,ATL,118,QB,0,2,false,leaders
2002,BAL,341,QB,2084,0,false,leaders
2002,BAL,2206,QB,1034,1,false,leaders
2002,BAL,2579,QB,0,2,false,leaders
2002,BAL,3640,QB,0,3,false,leaders
2002,BUF,393,QB,4359,0,false,leaders
2002,BUF,530,QB,5,1,false,leaders
2002,CAR,59,QB,2630,0,false,leaders
2002,CAR,2655,QB,180,1,false,leaders
2002,CAR,3665,QB,171,2,false,leaders
2002,CAR,2724,QB,0,3,false,leaders
2002,CHI,580,QB,1944,0,false,leaders
2002,CHI,29,QB,1023,1,false,leaders
2002,CHI,2856,QB,207,2,false,leaders
2002,CHI,1799,QB,59,3,false,leaders
2002,CHI,1831,QB,44,4,false,leaders
2002,CHI,1266,QB,27,5,false,leaders
2002,CHI,1252,QB,12,6,false,leaders
2002,CHI,2140,QB,0,7,false,leaders
2002,CIN,1383,QB,3178,0,false,leaders
2002,CIN,622,QB,437,1,false,leaders
2002,CIN,1754,QB,117,2,false,leaders
2002,CLE,1752,QB,2842,0,false,leaders
2002,CLE,1162,QB,790,1,false,leaders
2002,CLE,1784,QB,33,2,false,leaders
2002,CLE,4291,QB,0,3,false,leaders
2002,DAL,3790,QB,1555,0,false,leaders
2002,DAL,2601,QB,1465,1,false,leaders
2002,DEN,1493,QB,3214,0,false,leaders
2002,DEN,18,QB,925,1,false,leaders
2002,DEN,866,QB,0,2,false,leaders
2002,DET,3531,QB,2294,0,false,leaders
2002,DET,2698,QB,874,1,false,leaders
2002,DET,740,QB,0,2,false,leaders
2002,GB,112,QB,3658,0,false,leaders
2002,GB,525,QB,134,1,false,leaders
2002,GB,2145,QB,31,2,false,leaders
2002,HOU,3529,QB,2592,0,false,leaders
2002,HOU,3561,QB,39,1,false,leaders
2002,HOU,1420,QB,5,2,false,leaders
2002,IND,1428,QB,4200,0,false,leaders
2002,JAX,445,QB,2788,0,false,leaders
2002,JAX,3636,QB,231,1,false,leaders
2002,KC,478,QB,3690,0,false,leaders
2002,KC,735,QB,73,1,false,leaders
2002,KC,1306,QB,0,2,false,leaders
2002,LAC,2580,QB,3284,0,false,leaders
2002,LAC,35,QB,64,1,false,leaders
2002,LAC,3576,QB,20,2,false,leaders
2002,LAR,2299,QB,1826,0,false,leaders
2002,LAR,1682,QB,1431,1,false,leaders
2002,LAR,531,QB,1216,2,false,leaders
2002,LAR,1998,QB,7,3,false,leaders
2002,LAR,90,QB,0,4,false,leaders
2002,LV,33,QB,4689,0,false,leaders
2002,LV,391,QB,0,1,false,leaders
2002,MIA,712,QB,2024,0,false,leaders
