season,pos,wiki_title,name,team,espn_id,note
2003,RB,Jamal Lewis (American football),Jamal Lewis,Baltimore,2136,
2003,RB,Priest Holmes,Priest Holmes,Kansas City,1306,
2003,RB,Clinton Portis,Clinton Portis,Denver,3579,
2003,WR,Marvin Harrison,Marvin Harrison,Indianapolis,4432708,
2003,WR,Chad Johnson (wide receiver),Chad Johnson,Cincinnati,2584,
2003,WR,Derrick Mason,Derrick Mason,Tennessee,1263,
2003,WR,Hines Ward,Hines Ward,Pittsburgh,1494,
2003,TE,Tony Gonzalez,Tony Gonzalez,Kansas City,1231,
2003,TE,Todd Heap,Todd Heap,Baltimore,2579,
2003,QB,Daunte Culpepper,Daunte Culpepper,Minnesota,1762,
2003,QB,Brett Favre,Brett Favre,Green Bay,112,
2003,QB,Donovan McNabb,Donovan McNabb,Philadelphia,1753,
2003,QB,Matt Hasselbeck,Matt Hasselbeck,Seattle,1575,
2003,QB,Marc Bulger,Marc Bulger,St. Louis,2299,
2003,RB,Ahman Green,Ahman Green,Green Bay,1432,
2003,RB,Stephen Davis (American football),Stephen Davis,Carolina,979,
2003,RB,Deuce McAllister,Deuce McAllister,New Orleans,2571,
2003,RB,Shaun Alexander,Shaun Alexander,Seattle,2150,
2003,WR,Torry Holt,Torry Holt,St. Louis,1757,
2003,WR,Randy Moss,Randy Moss,Minnesota,1433,
2003,WR,Anquan Boldin,Anquan Boldin,Arizona,4512,
2003,WR,Terrell Owens,Terrell Owens,San Francisco,1056,
2003,WR,Keenan McCardell,Keenan McCardell,Tampa Bay,276,
2003,WR,Laveranues Coles,Laveranues Coles,Washington,2209,
2003,TE,Alge Crumpler,Alge Crumpler,Atlanta,2583,
2003,TE,Jeremy Shockey,Jeremy Shockey,N.Y. Giants,3542,
2003,TE,Bubba Franks,Bubba Franks,Green Bay,2145,
2004,QB,Peyton Manning,Peyton Manning,Indianapolis,1428,
2004,QB,Tom Brady,Tom Brady,New England,2330,
2004,QB,Drew Brees,Drew Brees,San Diego,2580,
2004,RB,Curtis Martin,Curtis Martin,N.Y. Jets,775,
2004,RB,LaDainian Tomlinson,LaDainian Tomlinson,San Diego,2553,
2004,RB,Edgerrin James,Edgerrin James,Indianapolis,1755,
2004,RB,Corey Dillon,Corey Dillon,New England,1196,
2004,RB,Rudi Johnson,Rudi Johnson,Cincinnati,2649,
2004,RB,Jerome Bettis,Jerome Bettis,Pittsburgh,389,
2004,WR,Marvin Harrison,Marvin Harrison,Indianapolis,4432708,
2004,WR,Chad Ochocinco,Chad Ochocinco,Cincinnati,2584,
2004,WR,Andre Johnson,Andre Johnson,Houston,4461,
2004,WR,Hines Ward,Hines Ward,Pittsburgh,1494,
2004,TE,Antonio Gates,Antonio Gates,San Diego,5362,
2004,TE,Tony Gonzalez,Tony Gonzalez,Kansas City,1231,
2004,QB,Donovan McNabb,Donovan McNabb,Philadelphia,1753,
2004,QB,Daunte Culpepper,Daunte Culpepper,Minnesota,1762,
2004,QB,Michael Vick,Michael Vick,Atlanta,2549,
2004,RB,Tiki Barber,Tiki Barber,N.Y. Giants,1218,
2004,RB,Ahman Green,Ahman Green,Green Bay,1432,
2004,RB,Shaun Alexander,Shaun Alexander,Seattle,2150,
2004,RB,Brian Westbrook,Brian Westbrook,Philadelphia,3619,
2004,WR,Muhsin Muhammad,Muhsin Muhammad,Carolina,936,
2004,WR,Joe Horn,Joe Horn,New Orleans,1042,
2004,WR,Javon Walker,Javon Walker,Green Bay,3548,
2004,WR,Terrell Owens,Terrell Owens,Philadelphia,1056,
2004,WR,Torry Holt,Torry Holt,St. Louis,1757,
2004,TE,Alge Crumpler,Alge Crumpler,Atlanta,2583,
2004,TE,Jason Witten,Jason Witten,Dallas,4527,
2005,QB,Peyton Manning,Peyton Manning,Indianapolis,1428,
2005,QB,Tom Brady,Tom Brady,New England,2330,
2005,QB,Carson Palmer,Carson Palmer,Cincinnati,4459,
2005,QB,Jake Plummer,Jake Plummer,Denver,1177,
2005,QB,Trent Green,Trent Green,Kansas City,478,
2005,QB,Steve McNair,Steve McNair,Tennessee,733,
2005,RB,Edgerrin James,Edgerrin James,Indianapolis,1755,
2005,RB,Larry Johnson (running back),Larry Johnson,Kansas City,4485,
2005,RB,LaDainian Tomlinson,LaDainian Tomlinson,San Diego,2553,
2005,WR,Marvin Harrison,Marvin Harrison,Indianapolis,4432708,
2005,WR,Chad Johnson (wide receiver),Chad Johnson,Cincinnati,2584,
2005,WR,Chris Chambers,Chris Chambers,Miami,2600,
2005,WR,Rod Smith (wide receiver),Rod Smith,Denver,866,
2005,TE,Antonio Gates,Antonio Gates,San Diego,5362,
2005,TE,Tony Gonzalez,Tony Gonzalez,Kansas City,1231,
2005,QB,Matt Hasselbeck,Matt Hasselbeck,Seattle,1575,
2005,QB,Jake Delhomme,Jake Delhomme,Carolina,1693,
2005,QB,Michael Vick,Michael Vick,Atlanta,2549,
2005,RB,Shaun Alexander,Shaun Alexander,Seattle,2150,
2005,RB,Tiki Barber,Tiki Barber,N.Y. Giants,1218,
2005,RB,Warrick Dunn,Warrick Dunn,Atlanta,1175,
2005,WR,Santana Moss,Santana Moss,Washington,2564,
2005,WR,"Steve Smith (American football, born 1979)",Steve Smith,Carolina,2622,
2005,WR,Larry Fitzgerald,Larry Fitzgerald,Arizona,5528,
2005,WR,Torry Holt,Torry Holt,St. Louis,1757,
2005,TE,Alge Crumpler,Alge Crumpler,Atlanta,2583,
2005,TE,Jeremy Shockey,Jeremy Shockey,N.Y. Giants,3542,
2005,TE,Jason Witten,Jason Witten,Dallas,4527,
2006,QB,Peyton Manning,Peyton Manning,Indianapolis,1428,
2006,QB,Carson Palmer,Carson Palmer,Cincinnati,4459,
2006,QB,Philip Rivers,Philip Rivers,San Diego,5529,
2006,QB,Vince Young,Vince Young,Tennessee,9589,
2006,RB,LaDainian Tomlinson,LaDainian Tomlinson,San Diego,2553,
2006,RB,Larry Johnson (running back),Larry Johnson,Kansas City,4485,
2006,RB,Willie Parker,Willie Parker,Pittsburgh,5880,
2006,WR,Andre Johnson,Andre Johnson,Houston,4461,
2006,WR,Chad Ocho Cinco,Chad Ocho Cinco,Cincinnati,2584,
2006,WR,Marvin Harrison,Marvin Harrison,Indianapolis,4432708,
2006,WR,Reggie Wayne,Reggie Wayne,Indianapolis,2578,
2006,TE,Antonio Gates,Antonio Gates,San Diego,5362,
2006,TE,Tony Gonzalez,Tony Gonzalez,Kansas City,1231,
2006,QB,Drew Brees,Drew Brees,New Orleans,2580,
2006,QB,Marc Bulger,Marc Bulger,St. Louis,2299,
2006,QB,Tony Romo,Tony Romo,Dallas,5209,
2006,RB,Frank Gore,Frank Gore,San Francisco,4429805,
2006,RB,Tiki Barber,Tiki Barber,N.Y. Giants,1218,
2006,RB,Steven Jackson,Steven Jackson,St. Louis,5549,
2006,WR,Torry Holt,Torry Holt,St. Louis,1757,
2006,WR,"Steve Smith (American football, born 1979)",Steve Smith,Carolina,2622,
2006,WR,Donald Driver,Donald Driver,Green Bay,1966,
2006,WR,Anquan Boldin,Anquan Boldin,Arizona,4512,
2006,WR,Roy Williams (wide receiver),Roy Williams,Detroit,5532,
2006,TE,Alge Crumpler,Alge Crumpler,Atlanta,2583,
2006,TE,Jeremy Shockey,Jeremy Shockey,N.Y. Giants,3542,
2006,TE,Jason Witten,Jason Witten,Dallas,4527,
2007,QB,Tom Brady,Tom Brady,New England,2330,
2007,QB,Peyton Manning,Peyton Manning,Indianapolis,1428,
2007,QB,Ben Roethlisberger,Ben Roethlisberger,Pittsburgh,5536,
2007,QB,Derek Anderson (American football),Derek Anderson,Cleveland,8627,
2007,RB,LaDainian Tomlinson,LaDainian Tomlinson,San Diego,2553,
2007,RB,Joseph Addai,Joseph Addai,Indianapolis,9616,
2007,RB,Willie Parker,Willie Parker,Pittsburgh,5880,
2007,RB,Fred Taylor (running back),Fred Taylor,Jacksonville,1430,
2007,RB,Willis McGahee,Willis McGahee,Baltimore,4481,
2007,WR,Randy Moss,Randy Moss,New England,1433,
2007,WR,Reggie Wayne,Reggie Wayne,Indianapolis,2578,
2007,WR,Braylon Edwards,Braylon Edwards,Cleveland,8418,
